VID	NAME	Use	Format	TypeSize	Classification	Unit	Min	Max	Value	Default	Description
100144	Bin1_Stage_BarcodePositionY	True	FLOAT8	1	ECV	mm	-100	500	43.83	0	
100145	Bin2_Stage_BarcodePositionX	True	FLOAT8	1	ECV	mm	-100	500	79.837	0	
100146	Bin2_Stage_BarcodePositionY	True	FLOAT8	1	ECV	mm	-100	500	45.507	0	
100147	Bin3_Stage_BarcodePositionX	True	FLOAT8	1	ECV	mm	-100	500	76.153	0	
100148	Bin3_Stage_BarcodePositionY	True	FLOAT8	1	ECV	mm	-100	500	53.093	0	
100149	Bin1_Stage_PickerHeightX	True	FLOAT8	1	ECV	mm	-300	300	-24.585	0	
100150	Bin1_Stage_PickerHeightY	True	FLOAT8	1	ECV	mm	-300	300	-234.838	0	
100151	Bin2_Stage_PickerHeightX	True	FLOAT8	1	ECV	mm	-300	300	-23.607		
100152	Bin2_Stage_PickerHeightY	True	FLOAT8	1	ECV	mm	-300	300	-233.582		
100153	Bin3_Stage_PickerHeightX	True	FLOAT8	1	ECV	mm	-300	300	-25.991		
100154	Bin3_Stage_PickerHeightY	True	FLOAT8	1	ECV	mm	-300	200	-234.196		
100155	SwingArm_ULC_RightPositionT	True	FLOAT8	1	ECV	deg	-10	100	90.616	0	
100156	SwingArm_ULC_LeftPositionT	True	FLOAT8	1	ECV	deg	-10	100	88.94	0	
100157	SwingArm_PickUp_PositionT	True	FLOAT8	1	ECV	deg	-10	100	0.1456	0	
100158	SwingArm_Bonding_positionT	True	FLOAT8	1	ECV	deg	-10	200	180.07	0	
100159	SwingArm_MaintPositionRightT	True	FLOAT8	1	ECV	deg	-10	100	90	0	
100160	SwingArm_MaintPositionLeftT	True	FLOAT8	1	ECV	deg	-10	100	90	0	
100161	SwingArm_DumpPositionRightT	True	FLOAT8	1	ECV	deg	-10	100	90	0	
100162	SwingArm_DumpPositionLeftT	True	FLOAT8	1	ECV	deg	-10	100	90	0	
100163	SwingArm_VisionAvoidAngle	True	FLOAT8	1	ECV	deg	-95	95	15	0	
100164	UseRightPicker	True	BOOL	1	ECV	Boolean	0	1	1	0	
100165	UseLeftPicker	True	BOOL	1	ECV	Boolean	0	1	1	0	
100166	PickerDryRunPickDownPositionZ	True	FLOAT8	1	ECV	mm	-100	100	-5	0	
100167	PickerDryRunBondingDownPositionZ	True	FLOAT8	1	ECV	mm	-100	100	-5	0	
100168	Picker_Right_ULC_FocusPositionZ	True	FLOAT8	1	ECV	mm	-10	100	-1.6	0	
100169	Picker_Right_PickDownPositionZ	True	FLOAT8	1	ECV	mm	-20	100	-14.065	0	
100170	Picker_Right_BondingAtLeftStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-13.69	0	
100171	Picker_Right_BondingAtCenterStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-14.689	0	
100172	Picker_Right_BondingAtRightStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-13.647	0	
100173	Picker_Right_Loadcell_PositionZ	True	FLOAT8	1	ECV	mm	-20	100	-4.22314	0	
100174	Picker_Right_Dumping_PositionZ	True	FLOAT8	1	ECV	mm	-20	100	0	0	
100175	Picker_Right_PickOffset_X	True	FLOAT8	1	ECV	mm	-10	100	0	0	
100176	Picker_Right_PickOffset_Y	True	FLOAT8	1	ECV	mm	-10	100	-0.5	0	
100177	Picker_Right_PickOffset_T	True	FLOAT8	1	ECV	mm	-5	5	0	0	
100178	Picker_Right_Bonding_Offset_X	True	FLOAT8	1	ECV	mm	-10	100	0.015	0	
100179	Picker_Right_Bonding_Offset_Y	True	FLOAT8	1	ECV	mm	-10	100	-0.083	0	
100180	Picker_Right_Bonding_Offset_T	True	FLOAT8	1	ECV	mm	-5	5	0.7	0	
100181	Picker_Right_Working_PositionT	True	FLOAT8	1	ECV	mm	-360	360	-74.94	0	
100182	Picker_Left_ULC_FocusPositionZ	True	FLOAT8	1	ECV	mm	-10	100	-1.6	0	
100183	Picker_Left_PickDownPositionZ	True	FLOAT8	1	ECV	mm	-20	100	-14.087	0	
100184	Picker_Left_BondingAtLeftStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-13.712	0	
100185	Picker_Left_BondingAtCenterStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-14.712	0	
100186	Picker_Left_BondingAtRightStagePositionZ	True	FLOAT8	1	ECV	mm	-100	100	-13.665	0	
100187	Picker_Left_Loadcell_PositionZ	True	FLOAT8	1	ECV	mm	-20	100	-4.489595	0	
100188	Picker_Left_Dumping_PositionZ	True	FLOAT8	1	ECV	mm	-20	100	0	0	
100189	Picker_Left_PickOffset_X	True	FLOAT8	1	ECV	mm	-10	100	0	0	
100190	Picker_Left_PickOffset_Y	True	FLOAT8	1	ECV	mm	-10	100	-0.6	0	
100191	Picker_Left_PickOffset_T	True	FLOAT8	1	ECV	mm	-5	5	0	0	
100192	Picker_Left_Bonding_Offset_X	True	FLOAT8	1	ECV	mm	-10	100	-0.835	0	
100193	Picker_Left_Bonding_Offset_Y	True	FLOAT8	1	ECV	mm	-10	100	-0.129	0	
100194	Picker_Left_Bonding_Offset_T	True	FLOAT8	1	ECV	mm	-5	5	0.27	0	
100195	Picker_Left_Working_PositionT	True	FLOAT8	1	ECV	mm	-10	300	216.727	0	
100196	Picker_VacuumCheckTimeout	True	INT4	1	ECV	ms	0	1000	200	1000	
100197	LastAutoPickHeightTouchEncoder_Right	True	FLOAT8	1	ECV	mm	-10	100	0.126	0	
100198	LastAutoPickHeightTouchEncoder_Left	True	FLOAT8	1	ECV	mm	-10	100	0.169	0	
100199	LastAutoBondingHeightTouchEncoder_Right	True	FLOAT8	1	ECV	mm	-10	100	0.126		
100200	LastAutoBondingHeightTouchEncoder_Left	True	FLOAT8	1	ECV	mm	-10	100	0.169	0	
100201	AutoTouchDetectEncoderThreshold	True	FLOAT8	1	ECV	mm	-359	359	0.115	0	
100202	UsePickerVCMForce_Left	True	BOOL	1	ECV	Boolean	0	1	1	0	
100203	UsePickerVCMForce_Right	True	BOOL	1	ECV	Boolean	0	1	1	0	
100204	ZeroCurrentForce	True	FLOAT8	1	ECV	gF	0	500	180	0	
100205	MeasureCameraAngle_PosX	True	FLOAT8	1	ECV	mm	-300	300	-7.822	0	
100206	MeasureCameraAngle_PosY	True	FLOAT8	1	ECV	mm	-300	300	171.281	0	
100207	MeasureCameraAngle_PosT	True	FLOAT8	1	ECV	deg	-100	100	0	0	
100208	MeasureCameraAngle_Distance	True	FLOAT8	1	ECV	mm	-10	300	16	0	
100209	MeasureCameraAngleVisionScene	True	ASCII	128	ECV				WAFER_JIG_DOT_INSPECTION	WAFER_JIG_DOT_INSPECTION	
100210	InspectResultFirstJigDotX	True	FLOAT8	1	ECV	mm	-100	100	-8.470780194	0	
100211	InspectResultFirstJigDotY	True	FLOAT8	1	ECV	mm	-100	100	-0.38373187	0	
100212	InspectResultSecondJigDotX	True	FLOAT8	1	ECV	mm	-100	100	7.57992266	0	
100213	InspectResultSecondJigDotY	True	FLOAT8	1	ECV	mm	-100	100	-0.670541911	0	
100214	MeasuredWaferVisionAngle	True	FLOAT8	1	ECV	deg	-300	300	1.023709449	0	
100215	GlassJigPosForWaferVisionResolution_X	True	FLOAT8	1	ECV	mm	-300	300	14.068	0	
100216	GlassJigPosForWaferVisionResolution_Y	True	FLOAT8	1	ECV	mm	-300	300	84.213	0	
100217	GlassJigPosForWaferVisionResolution_T	True	FLOAT8	1	ECV	deg	-300	300	0	0	
100218	WaferVisionGlassJig_Scene	True	ASCII	128	ECV				WAFER_GLASS_JIG_INSPECTION	0	
100219	MeasuredGlassJigVisionResultX	True	FLOAT8	1	ECV	mm	-300	300	0		
100220	MeasuredGlassJigVisionResultY	True	FLOAT8	1	ECV	mm	-300	300	0		
100221	MeasuredGlassJigVisionResultT	True	FLOAT8	1	ECV	deg	-300	300	0		
100222	WaferVisionAlignTestPosX	True	FLOAT8	1	ECV	mm	-300	300	-5.822	0	
100223	WaferVisionAlignTestPosY	True	FLOAT8	1	ECV	mm	-300	300	177.454	0	
100224	WaferVisionAlignTestVisionScene	True	ASCII	128	ECV				WAFER_JIG_DOT_INSPECTION	WAFER_GLASS_JIG_INSPECTION	
100225	WaferVisionAlignTest_BeforeAlign_VisionResult_X	True	FLOAT8	1	ECV	mm	-100	100	-6.460659301	0	
100226	WaferVisionAlignTest_BeforeAlign_VisionResult_Y	True	FLOAT8	1	ECV	mm	-100	100	6.790909886	0	
100227	WaferVisionAlignTest_AfterAlign_VisionResult_X	True	FLOAT8	1	ECV	mm	-100	100	0.027097704		
100228	WaferVisionAlignTest_AfterAlign_VisionResult_Y	True	FLOAT8	1	ECV	mm	-100	100	-0.010996726		
100229	PickerFastDownSpeed_ForFlatness	True	FLOAT8	1	ECV	mm/s	-10	300	10	10	
100230	TouchEncoderThreshold_ForFlatnessPickerHeight	True	FLOAT8	1	ECV	mm	-10	300	0.1	0	
100231	PickerLeftZPosition_ForFlatness	True	FLOAT8	1	ECV	mm	-100	300	-6.761	0	
100232	PickerRightZPosition_ForFlatness	True	FLOAT8	1	ECV	mm	-100	300	-5.667	0	
100233	PickerLeftEncoder_AutoHeightForFlatness	True	FLOAT8	1	ECV	mm	-10	300	0.2	0	
100234	PickerRightEncoder_AutoHeightForFlatness	True	FLOAT8	1	ECV	mm	-10	300	0.1	0	
100235	PickerDownSlowDistance_ForFlatness	True	FLOAT8	1	ECV	mm	-10	300	1	0	
100236	PickerDownSlowSpeed_ForFlatness	True	FLOAT8	1	ECV	mm/s	-10	300	0.08	0	
100237	SupplyStageFlatnessPositionX	True	FLOAT8	1	ECV	mm	-300	300	59.594	0	
100238	SupplyStageFlatnessPositionY	True	FLOAT8	1	ECV	mm	-300	300	-202.199	0	
100239	SupplyStageFlatnessMeasureDistance	True	FLOAT8	1	ECV	mm	-10	10	3.5	0	
100240	SupplyStage_FlatnessMeasureZ	True	FLOAT8	1	ECV	mm	-10	300	8	0	
100241	PickerLeft_FlatnessResultTop	True	FLOAT8	1	ECV	mm	0	100	1.2128	0	
100242	PickerLeft_FlatnessResultBottom	True	FLOAT8	1	ECV	mm	0	100	1.2064	0	
100243	PickerLeft_FlatnessResultRight	True	FLOAT8	1	ECV	mm	0	100	1.2064	0	
100244	PickerLeft_FlatnessResultLeft	True	FLOAT8	1	ECV	mm	0	100	1.206	0	
100245	PickerLeft_FlatnessResultCenter	True	FLOAT8	1	ECV	mm	0	100	1.2036		
100246	PickerLeft_FlatnessResultMin	True	FLOAT8	1	ECV	mm	-10	100	1.206		
100247	PickerLeft_FlatnessResultMax	True	FLOAT8	1	ECV	mm	-10	300	1.2128	0	
100248	PickerLeft_FlatnessResultVertical	True	FLOAT8	1	ECV	mm	-10	100	0.0064		
100249	PickerLeft_FlatnessResultHorizontal	True	FLOAT8	1	ECV	mm	-10	100	0.0004		
100250	PickerLeft_FlatnessResultTotal	True	FLOAT8	1	ECV	mm	-10	100	0.0068		
100251	PickerRight_FlatnessResultTop	True	FLOAT8	1	ECV	mm	0	100	0.0908	0	
100252	PickerRight_FlatnessResultBottom	True	FLOAT8	1	ECV	mm	0	100	0.0908	0	
100253	PickerRight_FlatnessResultRight	True	FLOAT8	1	ECV	mm	0	100	0.09	0	
100254	PickerRight_FlatnessResultLeft	True	FLOAT8	1	ECV	mm	0	100	0.0936	0	
100255	PickerRight_FlatnessResultCenter	True	FLOAT8	1	ECV	mm	0	100	0.0924		
100256	PickerRight_FlatnessResultMin	True	FLOAT8	1	ECV	mm	-10	100	0.09		
100257	PickerRight_FlatnessResultMax	True	FLOAT8	1	ECV	mm	-10	100	0.0936		
100258	PickerRight_FlatnessResultVertical	True	FLOAT8	1	ECV	mm	-10	100	0		
100259	PickerRight_FlatnessResultHorizontal	True	FLOAT8	1	ECV	mm	-10	100	-0.0036		
100260	PickerRight_FlatnessResultTotal	True	FLOAT8	1	ECV	mm	-10	100	0.0036		
100261	GlassJigThickness_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	100	0.5	0	
100262	GlassJigPickPositionX_ForULCCalibration	True	FLOAT8	1	ECV	mm	-300	300	-12.523	0	
100263	GlassJigPickPositionY_ForULCCalibration	True	FLOAT8	1	ECV	mm	-300	300	84.974	0	
100264	GlassJigPickPositionT_ForULCCalibration	True	FLOAT8	1	ECV	deg	-100	100	89.931	0	
100265	PickHeight_PickerLeftZ_ForULCCalibration	True	FLOAT8	1	ECV	mm	-100	100	-12.862	0	
100266	PickHeight_PickerRightZ_ForULCCalibration	True	FLOAT8	1	ECV	mm	-100	100	-13.517	0	
100267	GlassJigPickHeight_PickerLeftTouchEncoder	True	FLOAT8	1	ECV	mm	0	100	0.2		
100268	GlassJigPickHeight_PickerRightTouchEncoder	True	FLOAT8	1	ECV	mm	0	100	0.2		
100269	GlassJigPick_TouchDelay_ForULCCalibration	True	INT4	1	ECV	ms	-359	2000	1000	100	
100270	GlassJigBonding_TouchDelay_ForULCCalibration	True	INT4	1	ECV	ms	0	10000	5000	500	
100271	GlassJigVacuumThreshold_ForULCCalibration	True	FLOAT8	1	ECV	kPa	-359	359	-25	-30	
100272	GlassJigEmptyVacuumThreshold_ForULCCalibration	True	FLOAT8	1	ECV	kPa	-359	359	-10	0.1	
100273	ULCLeftCenterPositionX	True	FLOAT8	1	ECV	mm	-100	300	0.197	0	
