[16:15:35:913]	[OPER] Start> Initialize
[16:17:38:471]	[RECV] _RDY
[16:17:38:472]	[OPER] End > Place, Result : Completed
[16:17:38:490]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 1
[16:17:38:498]	[SEND] PICK 4 SLOT 2 ARM A
[16:17:38:563]	[RECV] _ACK
[16:17:46:966]	[RECV] _RDY
[16:17:46:967]	[OPER] End > Pick, Result : Completed
[16:17:47:104]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:17:47:106]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:17:47:186]	[RECV] _ACK
[16:17:50:088]	[RECV] _RDY
[16:17:50:089]	[OPER] End > ApproachForPlace, Result : Completed
[16:17:50:214]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 1
[16:17:50:218]	[SEND] PLACE 13 SLOT 1 ARM A
[16:17:50:287]	[RECV] _ACK
[16:17:54:805]	[RECV] _RDY
[16:17:54:805]	[OPER] End > Place, Result : Completed
[16:17:54:940]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 2
[16:17:54:948]	[SEND] PICK 4 SLOT 3 ARM A
[16:17:55:013]	[RECV] _ACK
[16:18:03:415]	[RECV] _RDY
[16:18:03:415]	[OPER] End > Pick, Result : Completed
[16:18:03:547]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:18:03:549]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:18:03:628]	[RECV] _ACK
[16:18:06:532]	[RECV] _RDY
[16:18:06:532]	[OPER] End > ApproachForPlace, Result : Completed
[16:18:06:644]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 2
[16:18:06:648]	[SEND] PLACE 13 SLOT 1 ARM A
[16:18:06:717]	[RECV] _ACK
[16:18:11:227]	[RECV] _RDY
[16:18:11:228]	[OPER] End > Place, Result : Completed
[16:18:11:362]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:18:11:365]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:18:11:444]	[RECV] _ACK
[16:18:14:548]	[RECV] _RDY
[16:18:14:549]	[OPER] End > ApproachForPick, Result : Completed
[16:18:14:670]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:18:14:679]	[SEND] PICK 15 SLOT 1 ARM B
[16:18:14:746]	[RECV] _ACK
[16:18:17:835]	[RECV] _RDY
[16:18:17:836]	[OPER] End > Pick, Result : Completed
[16:18:17:969]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 1
[16:18:17:973]	[SEND] PLACE 11 SLOT 2 ARM B
[16:18:18:042]	[RECV] _ACK
[16:18:25:956]	[RECV] _RDY
[16:18:25:957]	[OPER] End > Place, Result : Completed
[16:18:25:972]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 4
[16:18:25:980]	[SEND] PICK 11 SLOT 5 ARM A
[16:18:26:047]	[RECV] _ACK
[16:18:32:973]	[RECV] _RDY
[16:18:32:973]	[OPER] End > Pick, Result : Completed
[16:18:33:108]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:18:33:110]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:18:33:188]	[RECV] _ACK
[16:18:36:090]	[RECV] _RDY
[16:18:36:091]	[OPER] End > ApproachForPlace, Result : Completed
[16:18:36:211]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 4
[16:18:36:215]	[SEND] PLACE 14 SLOT 1 ARM A
[16:18:36:285]	[RECV] _ACK
[16:18:40:796]	[RECV] _RDY
[16:18:40:796]	[OPER] End > Place, Result : Completed
[16:18:40:925]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:18:40:927]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:18:41:006]	[RECV] _ACK
[16:18:44:108]	[RECV] _RDY
[16:18:44:109]	[OPER] End > ApproachForPick, Result : Completed
[16:18:44:219]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:18:44:228]	[SEND] PICK 16 SLOT 1 ARM B
[16:18:44:295]	[RECV] _ACK
[16:18:47:477]	[RECV] _RDY
[16:18:47:477]	[OPER] End > Pick, Result : Completed
[16:18:47:605]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 1
[16:18:47:609]	[SEND] PLACE 9 SLOT 2 ARM B
[16:18:47:675]	[RECV] _ACK
[16:18:55:582]	[RECV] _RDY
[16:18:55:582]	[OPER] End > Place, Result : Completed
[16:18:55:597]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 3
[16:18:55:605]	[SEND] PICK 4 SLOT 4 ARM A
[16:18:55:669]	[RECV] _ACK
[16:19:02:764]	[RECV] _RDY
[16:19:02:764]	[OPER] End > Pick, Result : Completed
[16:19:02:892]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:19:02:894]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:19:02:971]	[RECV] _ACK
[16:19:05:873]	[RECV] _RDY
[16:19:05:874]	[OPER] End > ApproachForPlace, Result : Completed
[16:19:05:986]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 3
[16:19:05:990]	[SEND] PLACE 13 SLOT 1 ARM A
[16:19:06:060]	[RECV] _ACK
[16:19:10:588]	[RECV] _RDY
[16:19:10:589]	[OPER] End > Place, Result : Completed
[16:19:10:725]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:19:10:728]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:19:10:807]	[RECV] _ACK
[16:19:13:910]	[RECV] _RDY
[16:19:13:912]	[OPER] End > ApproachForPick, Result : Completed
[16:19:14:026]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:19:14:034]	[SEND] PICK 15 SLOT 1 ARM B
[16:19:14:103]	[RECV] _ACK
[16:19:17:300]	[RECV] _RDY
[16:19:17:301]	[OPER] End > Pick, Result : Completed
[16:19:17:423]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 2
[16:19:17:427]	[SEND] PLACE 11 SLOT 3 ARM B
[16:19:17:495]	[RECV] _ACK
[16:19:25:407]	[RECV] _RDY
[16:19:25:408]	[OPER] End > Place, Result : Completed
[16:19:25:423]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 5
[16:19:25:431]	[SEND] PICK 11 SLOT 6 ARM A
[16:19:25:498]	[RECV] _ACK
[16:19:32:433]	[RECV] _RDY
[16:19:32:433]	[OPER] End > Pick, Result : Completed
[16:19:32:557]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:19:32:559]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:19:32:638]	[RECV] _ACK
[16:19:35:539]	[RECV] _RDY
[16:19:35:540]	[OPER] End > ApproachForPlace, Result : Completed
[16:19:35:658]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 5
[16:19:35:662]	[SEND] PLACE 14 SLOT 1 ARM A
[16:19:35:732]	[RECV] _ACK
[16:19:40:257]	[RECV] _RDY
[16:19:40:258]	[OPER] End > Place, Result : Completed
[16:19:40:390]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:19:40:392]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:19:40:470]	[RECV] _ACK
[16:19:43:572]	[RECV] _RDY
[16:19:43:573]	[OPER] End > ApproachForPick, Result : Completed
[16:19:43:684]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:19:43:691]	[SEND] PICK 16 SLOT 1 ARM B
[16:19:43:757]	[RECV] _ACK
[16:19:46:960]	[RECV] _RDY
[16:19:46:960]	[OPER] End > Pick, Result : Completed
[16:19:47:084]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 2
[16:19:47:088]	[SEND] PLACE 9 SLOT 3 ARM B
[16:19:47:155]	[RECV] _ACK
[16:19:55:078]	[RECV] _RDY
[16:19:55:080]	[OPER] End > Place, Result : Completed
[16:19:55:095]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 4
[16:19:55:103]	[SEND] PICK 4 SLOT 5 ARM A
[16:19:55:169]	[RECV] _ACK
[16:20:02:272]	[RECV] _RDY
[16:20:02:272]	[OPER] End > Pick, Result : Completed
[16:20:02:412]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:20:02:414]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:20:02:492]	[RECV] _ACK
[16:20:05:395]	[RECV] _RDY
[16:20:05:396]	[OPER] End > ApproachForPlace, Result : Completed
[16:20:05:511]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 4
[16:20:05:515]	[SEND] PLACE 13 SLOT 1 ARM A
[16:20:05:584]	[RECV] _ACK
[16:20:10:114]	[RECV] _RDY
[16:20:10:115]	[OPER] End > Place, Result : Completed
[16:20:10:248]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:20:10:250]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:20:10:328]	[RECV] _ACK
[16:20:13:434]	[RECV] _RDY
[16:20:13:436]	[OPER] End > ApproachForPick, Result : Completed
[16:20:13:554]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:20:13:562]	[SEND] PICK 15 SLOT 1 ARM B
[16:20:13:629]	[RECV] _ACK
[16:20:16:826]	[RECV] _RDY
[16:20:16:828]	[OPER] End > Pick, Result : Completed
[16:20:16:957]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 3
[16:20:16:961]	[SEND] PLACE 11 SLOT 4 ARM B
[16:20:17:030]	[RECV] _ACK
[16:20:24:947]	[RECV] _RDY
[16:20:24:948]	[OPER] End > Place, Result : Completed
[16:20:24:963]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 6
[16:20:24:971]	[SEND] PICK 11 SLOT 7 ARM A
[16:20:25:039]	[RECV] _ACK
[16:20:31:975]	[RECV] _RDY
[16:20:31:975]	[OPER] End > Pick, Result : Completed
[16:20:32:113]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:20:32:115]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:20:32:193]	[RECV] _ACK
[16:20:35:096]	[RECV] _RDY
[16:20:35:097]	[OPER] End > ApproachForPlace, Result : Completed
[16:20:35:210]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 6
[16:20:35:214]	[SEND] PLACE 14 SLOT 1 ARM A
[16:20:35:284]	[RECV] _ACK
[16:20:39:794]	[RECV] _RDY
[16:20:39:794]	[OPER] End > Place, Result : Completed
[16:20:39:929]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:20:39:931]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:20:40:009]	[RECV] _ACK
[16:20:43:112]	[RECV] _RDY
[16:20:43:113]	[OPER] End > ApproachForPick, Result : Completed
[16:20:43:223]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:20:43:231]	[SEND] PICK 16 SLOT 1 ARM B
[16:20:43:297]	[RECV] _ACK
[16:20:46:504]	[RECV] _RDY
[16:20:46:505]	[OPER] End > Pick, Result : Completed
[16:20:46:637]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 3
[16:20:46:641]	[SEND] PLACE 9 SLOT 4 ARM B
[16:20:46:708]	[RECV] _ACK
[16:20:54:614]	[RECV] _RDY
[16:20:54:616]	[OPER] End > Place, Result : Completed
[16:20:54:631]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 5
[16:20:54:639]	[SEND] PICK 4 SLOT 6 ARM A
[16:20:54:704]	[RECV] _ACK
[16:21:01:813]	[RECV] _RDY
[16:21:01:814]	[OPER] End > Pick, Result : Completed
[16:21:01:950]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:21:01:952]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:21:02:030]	[RECV] _ACK
[16:21:04:933]	[RECV] _RDY
[16:21:04:934]	[OPER] End > ApproachForPlace, Result : Completed
[16:21:05:044]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 5
[16:21:05:048]	[SEND] PLACE 13 SLOT 1 ARM A
[16:21:05:117]	[RECV] _ACK
[16:21:09:641]	[RECV] _RDY
[16:21:09:642]	[OPER] End > Place, Result : Completed
[16:21:09:778]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:21:09:780]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:21:09:858]	[RECV] _ACK
[16:21:12:965]	[RECV] _RDY
[16:21:12:965]	[OPER] End > ApproachForPick, Result : Completed
[16:21:13:080]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:21:13:088]	[SEND] PICK 15 SLOT 1 ARM B
[16:21:13:154]	[RECV] _ACK
[16:21:16:367]	[RECV] _RDY
[16:21:16:368]	[OPER] End > Pick, Result : Completed
[16:21:16:487]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 4
[16:21:16:491]	[SEND] PLACE 11 SLOT 5 ARM B
[16:21:16:559]	[RECV] _ACK
[16:21:24:471]	[RECV] _RDY
[16:21:24:472]	[OPER] End > Place, Result : Completed
[16:21:24:488]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 7
[16:21:24:496]	[SEND] PICK 11 SLOT 8 ARM A
[16:21:24:563]	[RECV] _ACK
[16:21:31:507]	[RECV] _RDY
[16:21:31:508]	[OPER] End > Pick, Result : Completed
[16:21:31:643]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:21:31:645]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:21:31:725]	[RECV] _ACK
[16:21:34:627]	[RECV] _RDY
[16:21:34:628]	[OPER] End > ApproachForPlace, Result : Completed
[16:21:34:738]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 7
[16:21:34:742]	[SEND] PLACE 14 SLOT 1 ARM A
[16:21:34:810]	[RECV] _ACK
[16:21:39:335]	[RECV] _RDY
[16:21:39:336]	[OPER] End > Place, Result : Completed
[16:21:39:475]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:21:39:477]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:21:39:555]	[RECV] _ACK
[16:21:42:660]	[RECV] _RDY
[16:21:42:660]	[OPER] End > ApproachForPick, Result : Completed
[16:21:42:781]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:21:42:789]	[SEND] PICK 16 SLOT 1 ARM B
[16:21:42:856]	[RECV] _ACK
[16:21:46:070]	[RECV] _RDY
[16:21:46:072]	[OPER] End > Pick, Result : Completed
[16:21:46:195]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 4
[16:21:46:199]	[SEND] PLACE 9 SLOT 5 ARM B
[16:21:46:265]	[RECV] _ACK
[16:21:54:172]	[RECV] _RDY
[16:21:54:174]	[OPER] End > Place, Result : Completed
[16:21:54:190]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 6
[16:21:54:198]	[SEND] PICK 4 SLOT 7 ARM A
[16:21:54:263]	[RECV] _ACK
[16:22:01:383]	[RECV] _RDY
[16:22:01:383]	[OPER] End > Pick, Result : Completed
[16:22:01:507]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:22:01:509]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:22:01:588]	[RECV] _ACK
[16:22:04:490]	[RECV] _RDY
[16:22:04:492]	[OPER] End > ApproachForPlace, Result : Completed
[16:22:04:600]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 6
[16:22:04:604]	[SEND] PLACE 13 SLOT 1 ARM A
[16:22:04:674]	[RECV] _ACK
[16:22:09:191]	[RECV] _RDY
[16:22:09:192]	[OPER] End > Place, Result : Completed
[16:22:09:327]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:22:09:329]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:22:09:408]	[RECV] _ACK
[16:22:12:514]	[RECV] _RDY
[16:22:12:516]	[OPER] End > ApproachForPick, Result : Completed
[16:22:12:629]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:22:12:639]	[SEND] PICK 15 SLOT 1 ARM B
[16:22:12:707]	[RECV] _ACK
[16:22:15:928]	[RECV] _RDY
[16:22:15:930]	[OPER] End > Pick, Result : Completed
[16:22:16:064]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 5
[16:22:16:068]	[SEND] PLACE 11 SLOT 6 ARM B
[16:22:16:139]	[RECV] _ACK
[16:22:24:048]	[RECV] _RDY
[16:22:24:049]	[OPER] End > Place, Result : Completed
[16:22:24:065]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 8
[16:22:24:073]	[SEND] PICK 11 SLOT 9 ARM A
[16:22:24:141]	[RECV] _ACK
[16:22:31:054]	[RECV] _RDY
[16:22:31:056]	[OPER] End > Pick, Result : Completed
[16:22:31:182]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:22:31:184]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:22:31:263]	[RECV] _ACK
[16:22:34:164]	[RECV] _RDY
[16:22:34:165]	[OPER] End > ApproachForPlace, Result : Completed
[16:22:34:275]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 8
[16:22:34:279]	[SEND] PLACE 14 SLOT 1 ARM A
[16:22:34:347]	[RECV] _ACK
[16:22:38:867]	[RECV] _RDY
[16:22:38:868]	[OPER] End > Place, Result : Completed
[16:22:39:003]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:22:39:005]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:22:39:084]	[RECV] _ACK
[16:22:42:186]	[RECV] _RDY
[16:22:42:186]	[OPER] End > ApproachForPick, Result : Completed
[16:22:42:300]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:22:42:308]	[SEND] PICK 16 SLOT 1 ARM B
[16:22:42:376]	[RECV] _ACK
[16:22:45:592]	[RECV] _RDY
[16:22:45:593]	[OPER] End > Pick, Result : Completed
[16:22:45:719]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 5
[16:22:45:723]	[SEND] PLACE 9 SLOT 6 ARM B
[16:22:45:790]	[RECV] _ACK
[16:22:53:704]	[RECV] _RDY
[16:22:53:705]	[OPER] End > Place, Result : Completed
[16:22:53:720]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 7
[16:22:53:728]	[SEND] PICK 4 SLOT 8 ARM A
[16:22:53:793]	[RECV] _ACK
[16:23:00:921]	[RECV] _RDY
[16:23:00:922]	[OPER] End > Pick, Result : Completed
[16:23:01:058]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:23:01:060]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:23:01:139]	[RECV] _ACK
[16:23:04:041]	[RECV] _RDY
[16:23:04:042]	[OPER] End > ApproachForPlace, Result : Completed
[16:23:04:160]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 7
[16:23:04:164]	[SEND] PLACE 13 SLOT 1 ARM A
[16:23:04:233]	[RECV] _ACK
[16:23:08:756]	[RECV] _RDY
[16:23:08:757]	[OPER] End > Place, Result : Completed
[16:23:08:891]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:23:08:893]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[16:23:08:972]	[RECV] _ACK
[16:23:12:078]	[RECV] _RDY
[16:23:12:079]	[OPER] End > ApproachForPick, Result : Completed
[16:23:12:198]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[16:23:12:206]	[SEND] PICK 15 SLOT 1 ARM B
[16:23:12:272]	[RECV] _ACK
[16:23:15:487]	[RECV] _RDY
[16:23:15:487]	[OPER] End > Pick, Result : Completed
[16:23:15:612]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 6
[16:23:15:617]	[SEND] PLACE 11 SLOT 7 ARM B
[16:23:15:686]	[RECV] _ACK
[16:23:23:606]	[RECV] _RDY
[16:23:23:608]	[OPER] End > Place, Result : Completed
[16:23:23:623]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 9
[16:23:23:631]	[SEND] PICK 11 SLOT 10 ARM A
[16:23:23:702]	[RECV] _ACK
[16:23:30:644]	[RECV] _RDY
[16:23:30:645]	[OPER] End > Pick, Result : Completed
[16:23:30:781]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:23:30:783]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:23:30:861]	[RECV] _ACK
[16:23:33:765]	[RECV] _RDY
[16:23:33:765]	[OPER] End > ApproachForPlace, Result : Completed
[16:23:33:886]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 9
[16:23:33:890]	[SEND] PLACE 14 SLOT 1 ARM A
[16:23:33:959]	[RECV] _ACK
[16:23:38:479]	[RECV] _RDY
[16:23:38:480]	[OPER] End > Place, Result : Completed
[16:23:38:608]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:23:38:610]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[16:23:38:687]	[RECV] _ACK
[16:23:41:792]	[RECV] _RDY
[16:23:41:794]	[OPER] End > ApproachForPick, Result : Completed
[16:23:41:914]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[16:23:41:922]	[SEND] PICK 16 SLOT 1 ARM B
[16:23:41:989]	[RECV] _ACK
[16:23:45:202]	[RECV] _RDY
[16:23:45:203]	[OPER] End > Pick, Result : Completed
[16:23:45:325]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 6
[16:23:45:329]	[SEND] PLACE 9 SLOT 7 ARM B
[16:23:45:396]	[RECV] _ACK
[16:23:53:310]	[RECV] _RDY
[16:23:53:311]	[OPER] End > Place, Result : Completed
[16:23:53:326]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 8
